PAYS ,POPULATION (hab.),SUPERFICIE (km²)
Chine,1401501343,9596961
Inde,1358408567,3287469
États-Unis,330252859,9629047
Indonésie,268674755,1913579
Nigéria,212871345,923768
Pakistan,212761108,796096
Brésil,210301591,8515759
Bangladesh,173548302,147570
Russie,146716295,17125402
Mexique,127318112,1964375
Japon,126330302,377972
Philippines,107558661,300439
Égypte,99275661,1010408
Éthiopie,98802543,1132308
Viêt Nam,97709844,331236
République démocratique du Congo,95784841,2345410
Allemagne,83042235,357386
Turquie,82003882,783562
Iran,81920730,1629771
Thaïlande,68863629,513115
France,67063703,551695
Royaume-Uni,66465641,242545
Italie,60494785,302072
Afrique du Sud,57725606,1219912
Tanzanie,54199163,945088
Myanmar (Birmanie),53343778,676577
Corée du Sud,51826059,100356
Colombie,49892184,1141748
Kenya,47564296,580876
Espagne,46698569,505992
Argentine,45376763,2780400
Kurdistan,44000000,503000
Algérie,43003767,2381741
Ukraine,42220824,576468
Soudan,41435412,1886068
Ouganda,39612378,241551
Pologne,38386158,312679
Irak,38124182,435052
Canada,37870467,9984670
Afghanistan,35837201,652864
Maroc,35481848,446550
Yémen,34232322,527968
Arabie saoudite,33413660,2149690
Ouzbékistan,32653885,448970
Malaisie,32549402,330345
Pérou,32131400,1285216
Venezuela,31828110,916445
Mozambique,30405881,782574
Ghana,30280811,238553
Népal,29704501,147181
Angola,29131016,1281432
Madagascar,26453320,587295
Côte d’Ivoire,25823071,322462
Corée du Nord,25617841,123138
Syrie,25297296,185180
Australie,25105503,7688485
Cameroun,23799022,475650
Taïwan,23584865,36197
Sri Lanka,21803725,65610
Niger,21546595,1266491
Burkina Faso,20870060,270764
Mali,20252586,1246814
Roumanie,19524125,238391
Chili,19107216,756950
Kazakhstan,18440161,2724922
Malawi,18073097,118484
Guatemala,17689642,108930
Pays-Bas,17182462,41542
Zambie,16887720,770243
Équateur,16803150,256370
Sénégal,16209125,196712
Cambodge,15288489,181035
Tchad,15162044,1284200
Zimbabwé,14025965,390757
Somalie,13611470,637657
Soudan du Sud,12864588,644329
Rwanda,12089721,26338
Guinée,11883516,245857
Burundi,11759805,27834
Haïti,11591279,27065
Tunisie,11582075,162155
Bolivie,11523705,1098581
Bénin,11496140,114763
Belgique,11376070,30688
Cuba,11239445,109884
Grèce,10752660,132049
Tchéquie,10681161,78867
Jordanie,10305560,88794
Portugal,10291027,92226
République dominicaine,10266149,48311
Suède,10196177,407311
Azerbaïdjan,9967730,86573
Hongrie,9778371,93023
Émirats arabes unis,9541615,83600
Bélarus (Biélorussie),9477135,207605
Honduras,9181487,111275
Israël,9136100,20517
Papouasie-Nouvelle-Guinée,9008718,462840
Tadjikistan,8931496,142627
Autriche,8822267,83879
Suisse,8544527,41285
Turkménistan,8481200,491210
Sierra Leone,7794974,71740
Hong Kong,7448885,1110
Togo,7352781,56600
Laos,7230665,236800
Paraguay,7054473,406752
Bulgarie,7050034,110912
Serbie,7001444,77594
Salvador,6641842,21041
Liban,6629166,10389
Libye,6549402,1759540
Nicaragua,6460229,130376
Kirghizistan,6256730,199949
Danemark,5789957,42925
