PAYS ,CONTINENT,ESPERANCE DE VIE (ans)
Andorre,Europe,"89,14"
Monaco,Europe,85
Saint-Marin,Europe,"84,65"
Hong Kong,Asie,"84,3"
Japon,Asie,"83,92"
Suisse,Europe,"83,4"
Macao,Asie,"83,3"
Singapour,Asie,"83,1"
Australie,Océanie,83
Italie,Europe,"82,75"
Canaries,Afrique,"82,71"
Espagne,Europe,"82,71"
Corée du Sud,Asie,"82,7"
France,Europe,"82,65"
Îles Anglo-Normandes – Jersey et Guernesey,Europe,"82,6"
Norvège,Europe,"82,6"
Suède,Europe,"82,41"
Liechtenstein,Europe,"82,3"
Féroé,Europe,"82,2"
Islande,Europe,"82,2"
Israël,Asie,"82,2"
Luxembourg,Europe,"82,15"
Chypre,Europe,"82,05"
Canada,Amériques,"81,9"
Bermudes,Amériques,"81,88"
Caïmans,Amériques,"81,53"
Finlande,Europe,"81,45"
Belgique,Europe,"81,4"
Pays-Bas,Europe,"81,4"
Nouvelle-Zélande,Océanie,"81,35"
Man,Europe,"81,2"
Autriche,Europe,"81,1"
Grèce,Europe,"81,1"
Martinique,Amériques,81
Royaume-Uni,Europe,"80,95"
Slovénie,Europe,"80,85"
Anguilla,Amériques,"80,65"
Danemark,Europe,"80,6"
Irlande,Europe,"80,6"
Guadeloupe,Amériques,"80,55"
Saint-Pierre-et-Miquelon,Amériques,"80,5"
Madère,Afrique,"80,41"
Portugal,Europe,"80,41"
Chili,Amériques,"80,4"
Malte,Europe,"80,4"
Réunion,Afrique,"80,4"
Allemagne,Europe,"80,26"
Taïwan,Asie,"80,2"
Costa Rica,Amériques,"80,19"
Guyane,Amériques,"79,9"
Îles Vierges des États-Unis,Amériques,"79,87"
Turques-et-Caïques,Amériques,"79,8"
"Sainte-Hélène, Ascension et Tristan da Cunha",Afrique,"79,5"
Gibraltar,Europe,"79,4"
Porto Rico,Amériques,"79,38"
Liban,Asie,"79,37"
Tchéquie,Europe,"79,14"
Bahreïn,Asie,79
Guam,Océanie,79
États-Unis,Amériques,"78,94"
Qatar,Asie,"78,6"
Albanie,Europe,"78,55"
Cuba,Amériques,"78,45"
Estonie,Europe,"78,23"
Panama,Amériques,"78,13"
Curaçao,Amériques,"78,1"
Saint-Martin (Pays-Bas),Amériques,"78,1"
Argentine,Amériques,"78,07"
Dominique,Amériques,78
Oman,Asie,78
Turquie,Asie,78
Malouines,Amériques,"77,9"
Pologne,Europe,"77,9"
Sainte-Lucie,Amériques,"77,8"
Algérie,Afrique,"77,75"
Uruguay,Amériques,"77,55"
Vatican,Europe,"77,5"
Açores,Europe,"77,45"
Émirats arabes unis,Asie,"77,37"
Îles Vierges britanniques,Amériques,"77,37"
Brunei,Asie,"77,3"
